id,brand,model,sub_category,link,image
214,,GBA SP Replacement Case,GameBoy,https://s.click.aliexpress.com/e/_c4SbeEPl,images/products/214.png
215,,GBC Replacement Case,GameBoy,https://s.click.aliexpress.com/e/_c4FKrgxV,images/products/215.jpg
216,,PS5 Button Flex Cable,PS5,https://s.click.aliexpress.com/e/_c3fj0haB,images/products/216.jpg
217,,PS5 Trigger Flex Cable,PS5,https://s.click.aliexpress.com/e/_c3FlifEn,images/products/217.jpg
218,,PS5 Trigger Flex Cable (alt),PS5,https://s.click.aliexpress.com/e/_c3VnR3xZ,images/products/218.jpg
219,,PS5 Microphone Module,PS5,https://s.click.aliexpress.com/e/_c4V8KVHN,images/products/219.jpg
220,,PS4 Button Flex Cable,PS4,https://s.click.aliexpress.com/e/_c2JhmHcF,images/products/220.jpg
221,,PS4 Trigger Flex Cable,PS4,https://s.click.aliexpress.com/e/_c2JhmHcF,images/products/221.jpg
222,,Xbox Power Flex Cable,XBOX,https://s.click.aliexpress.com/e/_c2JhmHcF,images/products/222.jpg
223,,PS5 HDMI Capacitor Set,PS5,https://s.click.aliexpress.com/e/_c4V1opjD,images/products/223.png
224,,PS5 HDMI Filter Coil,PS5,https://s.click.aliexpress.com/e/_c2vGkgrV,images/products/224.jpg
225,,PS4 HDMI Filter Coil,PS4,https://s.click.aliexpress.com/e/_c4tobnll,images/products/225.jpg
226,,PSP Analog Stick Module,PSP,https://s.click.aliexpress.com/e/_c4UYBbef,images/products/226.jpg
227,,NES Conductive Button Pads,NES,https://s.click.aliexpress.com/e/_c3Uh9Hdd,images/products/227.jpg
228,,3DS / 3DS XL LL Touch Screen Connector,3DS,https://s.click.aliexpress.com/e/_c2RcaSkj,images/products/228.jpg
229,,GBA SP Ports / Switch / Buttons / Sockets Kit,GameBoy,https://s.click.aliexpress.com/e/_c3I66YyL,images/products/229.jpg
230,,NS / Switch Lite FPC,Switch,https://s.click.aliexpress.com/e/_c3lUf2kx,images/products/230.jpg
231,,Switch Lite FPC Connector,Switch,https://s.click.aliexpress.com/e/_c4cTcmCL,images/products/231.jpg
232,,PS5 Ribbon Flex Cable Connector,PS5,https://s.click.aliexpress.com/e/_c3lIKKmr,images/products/232.jpg
233,,PS5 Charging Port / Earphone / Battery Contact / MIC / Touch Button,PS5,https://s.click.aliexpress.com/e/_c39Zpqfh,images/products/233.jpg
234,,PS5 Touchpad Board,PS5,https://s.click.aliexpress.com/e/_c4eedoZ9,images/products/234.jpg
235,,Xbox Series X Power FPC,XBOX,https://s.click.aliexpress.com/e/_c43naoyF,images/products/235.jpg
236,,PS5 Side Board,PS5,https://s.click.aliexpress.com/e/_c3CXz7GX,images/products/236.jpg
237,,PS5 HDMI Filters,PS5,https://s.click.aliexpress.com/e/_c45w4xej,images/products/237.jpg
238,,Switch Buck Converters,Switch,https://s.click.aliexpress.com/e/_c3saKMsT,images/products/238.jpg
239,,Switch Chips (M92T36 / PI3USB30532 / BQ24193 / M92T17),Switch,https://s.click.aliexpress.com/e/_c4bs9mtH,images/products/239.jpg
